,year,CountryID,exp_id,TS_anom_popw,TS_anom,PRECT_anom_popw,PRECT_anom,Sum_abs_anom_popw,Sum_abs_anom,ISO_A3
0,1971,4.0,Historical,-0.06352469258671051,-3.3554443727814367,-0.3671501030212225,-18.409322240837664,0.4667473464725689,23.70129931349564,AFG
1,1971,8.0,Historical,0.31471561666122483,0.6406055918936981,0.3291322832330815,0.6421746497175894,0.6438478998943065,1.2827802416112877,ALB
2,1971,12.0,Historical,0.17956351230711448,2.9190978119412847,-0.04255061362461679,-13.766109835255588,0.23126611891423032,33.15387707415487,DZA
3,1971,24.0,Historical,-0.22217864140770413,-16.420268656016614,0.012759467361563581,7.284876005017765,0.3546179282356187,33.62753586119188,AGO
4,1971,31.0,Historical,0.5763479265309043,3.5819713312050823,-0.17056534944233942,-0.6734091292585934,0.7599913428428695,4.556848940950394,AZE
5,1971,32.0,Historical,0.21033089123784438,13.026212617607987,-0.071911999675844,11.816711896124774,0.6869820619118326,139.06854825577452,ARG
6,1971,36.0,Historical,0.10838996996161324,-67.71638942206869,0.3164911927373757,173.52180931921285,0.5185888694662428,296.1095293626704,AUS
7,1971,36.0,Historical,0.10838996996161324,-67.71638942206869,0.3164911927373757,173.52180931921285,0.5185888694662428,296.1095293626704,AUS
8,1971,40.0,Historical,0.27352204890934095,0.5514690635493433,0.007313952908875761,0.023608806144445094,0.30486239952794636,0.6173672774079207,AUT
9,1971,44.0,Historical,0.0,0.0,0.0,0.0,0.0,0.0,BHS
10,1971,50.0,Historical,-0.07559710959546384,-1.4249904935871631,0.005773639397093152,-0.03552196577346664,0.11450148356784054,2.0390904676004284,BGD
11,1971,51.0,Historical,0.5011828267063981,1.4949361760384765,-0.1404268633088095,-0.4317129949347698,0.6416096900152076,1.9266491709732463,ARM
12,1971,56.0,Historical,0.2792464509762693,0.8406810973908396,-0.23636035853120993,-0.7255520520649277,0.5156068095074793,1.5662331494557673,BEL
13,1971,64.0,Historical,0.1463616471551349,0.9068358855310946,0.03635427141176879,0.023310133029153194,0.18460068428849769,0.988577478070096,BTN
14,1971,68.0,Historical,-0.08944892517259136,-0.5151083171396735,0.0744876074767294,6.915810288819533,0.38846499864560274,29.98536440948677,BOL
15,1971,70.0,Historical,0.24533376997652495,1.2323595266061815,0.02321380954752706,0.3179697945729008,0.30862795236493445,1.6469842113176223,BIH
16,1971,72.0,Historical,-0.18343603335245884,-2.9562918127148285,0.180903715021709,5.71895586328407,0.49031080527156706,21.013741635352364,BWA
17,1971,76.0,Historical,-0.010307475858428667,-41.95165819865962,-0.10923924040796894,18.958772343129922,0.4181976387893336,240.26100263751172,BRA
18,1971,84.0,Historical,-0.17365988482614164,-0.3764874882685115,0.19676642566251096,0.42833943040942707,0.3704263104886526,0.8048269186779387,BLZ
19,1971,90.0,Historical,0.0,0.0,0.0,0.0,0.0,0.0,SLB
20,1971,96.0,Historical,0.6342659109028094,0.855917932109783,0.2692451617447807,0.4242975353735072,0.9035110726475901,1.2802154674832902,BRN
21,1971,100.0,Historical,0.1402869449165124,1.47262540923312,0.12382214755165803,1.1852763449319041,0.26410909246817044,2.657901754165024,BGR
22,1971,104.0,Historical,-0.18963770982926317,-5.078820823359044,-0.03621402185583789,-2.226155191749912,0.28216079878957784,15.69392675949413,MMR
23,1971,108.0,Historical,0.005515653961701704,0.024312005954016055,0.13054508143402543,0.2984355171025799,0.14630420902397365,0.3380950738098057,BDI
24,1971,112.0,Historical,0.1638361900025781,3.7967421849690743,0.07055297101718261,1.8251011367270433,0.2373195231554453,5.6476955087944924,BLR
25,1971,116.0,Historical,-0.3024001038048319,-3.547309998342532,-0.10025017680581569,-1.0084439328234611,0.40265028061064756,4.555753931165993,KHM
26,1971,120.0,Historical,-0.2432478964753956,-8.197612915971732,0.05076113848431474,0.08135428545726198,0.35558841750263226,12.166351702811365,CMR
27,1971,124.0,Historical,0.07384391503432415,-77.01575731290201,0.08592567227029295,38.202247899519435,0.20343002642084662,405.33450475183184,CAN
28,1971,132.0,Historical,0.0,0.0,0.0,0.0,0.0,0.0,CPV
29,1971,136.0,Historical,0.0,0.0,0.0,0.0,0.0,0.0,CYM
30,1971,140.0,Historical,-0.12311105504230342,-3.1443476587981163,0.05256542681858577,2.463822117187015,0.2929875478737636,12.474264714311973,CAF
31,1971,144.0,Historical,-0.36196150174979064,-3.4701251901375088,0.45823964952664853,4.416060673456237,0.8203170811553658,7.954882039039839,LKA
32,1971,148.0,Historical,0.07325423267806631,16.746816710240257,0.19005128437396224,9.760236584468682,0.2750584978262561,27.143270739322833,TCD
33,1971,152.0,Historical,-0.3317092566557007,-20.722821817276238,0.06626582749382673,10.745820173109246,0.4245960227752103,33.29067033125526,CHL
34,1971,156.0,Historical,-0.19665304352705376,-18.953260541807115,-0.0902124998966942,-22.684320160300814,0.3852510981504124,262.27645105010265,CHN
35,1971,158.0,Historical,-0.5989868952936852,-2.9038757552263803,0.28723513734029776,1.4198590406345153,0.886222032633983,4.323734795860895,TWN
36,1971,170.0,Historical,-0.176404775015068,-13.774617439603137,0.16431334800184247,7.636831038806756,0.5607776916123074,29.398724056864662,COL
37,1971,174.0,Historical,0.0,0.0,0.0,0.0,0.0,0.0,COM
38,1971,178.0,Historical,-0.45579643193415253,-4.845706551699668,0.025144869509740476,-0.40615776901631734,0.4901002592327455,6.35426354769509,COG
39,1971,180.0,Historical,-0.07235671373129819,-16.452483704161285,0.034377840133512444,6.832274177777349,0.23947953974734115,39.695248185224266,COD
40,1971,184.0,Historical,0.0,0.0,0.0,0.0,0.0,0.0,COK
