,time,PC1,PC2,E-index,C-index,exp_id,MCB_year
0,1970,0.4305165012429095,0.7792547526886145,-0.24659518245639733,0.8554374573395335,06-02,N
1,1971,-1.268598532324772,0.1372588500176346,-0.9940912884354844,-0.7999779611848111,06-02,N
2,1972,-0.5869604968094976,-0.30549095524966324,-0.1990290215344276,-0.6310584736308137,06-02,N
3,1973,1.4343034378216208,-0.32620762280497895,1.24486930932299,0.7835420650027015,06-02,N
4,1974,-1.5659114568216181,-0.6404790720440823,-0.6543795148058339,-1.5601537049067096,06-02,N
5,1975,-0.9259605006527288,-0.5118128375359227,-0.29284662100245545,-1.0166592772424148,06-02,N
6,1976,-1.5679138564301358,-0.9341096024827087,-0.44816728591110633,-1.7691977544850934,06-02,N
7,1977,0.5915716951769661,-0.550785583444438,0.807768578251005,0.02884013618430283,06-02,N
8,1978,0.4925006618360812,0.9707115597050152,-0.33814616872043074,1.0346472841667422,06-02,N
9,1979,0.18531796613239845,0.4680753645569668,-0.19993967385667868,0.46201885491251443,06-02,N
10,1980,0.7913208183398706,1.044588972636221,-0.1790876293615502,1.2981842628459712,06-02,N
11,1981,-0.06220514251466037,1.3251324497089152,-0.9809958192563075,0.8930244630627235,06-02,N
12,1982,0.06943531851995936,0.6894171871750728,-0.4383933835387382,0.5365897526973604,06-02,N
13,1983,2.6098326104658818,-1.9989670950075273,3.25891352487081,0.43194714837361814,06-02,N
14,1984,-0.1177748176469158,0.16204489698904573,-0.19786241772877303,0.03130367330648656,06-02,N
15,1985,-0.6582938501649693,0.443759089756781,-0.7792691070452404,-0.1516989838848612,06-02,N
16,1986,-0.2800389600838752,1.0670516105480725,-0.952536877366306,0.556501982022832,06-02,N
17,1987,0.9718386989726252,0.24401009280015573,0.5146525429661062,0.859734925560004,06-02,N
18,1988,0.8021032596778106,0.7402760989620217,0.043718404603644824,1.0906269036563834,06-02,N
19,1989,-1.474823541107724,-0.9151550882708472,-0.39574535821713896,-1.689970095724518,06-02,N
20,1990,-0.14945958075565907,0.7097441066173531,-0.6075487537619433,0.3961809876306933,06-02,N
21,1991,0.31684679955783684,1.779355583187877,-1.0341498784496905,1.4822389195788928,06-02,N
22,1992,1.2113447829715296,-0.11177114619756282,0.9355842458114049,0.7775159749768256,06-02,N
23,1993,0.6411181786483766,0.9241054433108569,-0.20010221383227203,1.106780237160743,06-02,N
24,1994,0.3169645384863976,0.8919269375678995,-0.406559811317816,0.8548153604366083,06-02,N
25,1995,0.8068299278317589,0.3763825645191183,0.3043722495422377,0.8366575769259411,06-02,N
26,1996,-0.5910342976200645,0.6069136817105495,-0.8470771396933992,0.011228420171447684,06-02,N
27,1997,-0.5188184840442842,0.6653587081043905,-0.8373397226947732,0.10361958614949719,06-02,N
28,1998,2.3832855795741925,-2.81462674802198,3.675479054856405,-0.30500426521435936,06-02,N
29,1999,-0.8540756535353546,-1.2500647029069665,0.2800065420862813,-1.4878519146086444,06-02,N
30,2000,-1.2457923148102068,-0.5694558792165509,-0.4782420799718127,-1.283574307532954,06-02,N
31,2001,-0.5335224506869756,-0.363532455230237,-0.12020107852133026,-0.6343136070707214,06-02,N
32,2002,-0.16449532861504704,0.800391580126766,-0.6822780762494614,0.44964655157504285,06-02,N
33,2003,0.7643798917233722,0.3318304346952985,0.30585865426311004,0.7751377554173607,06-02,N
34,2004,0.13662772802062223,0.7950201684786724,-0.46555375932984744,0.658774545292834,06-02,N
35,2005,0.3701960996767138,1.1745712698743926,-0.568779137464862,1.0923154823652927,06-02,N
36,2006,-0.6324917113856431,0.30540796995217473,-0.6631952247466729,-0.23128313158347277,06-02,N
37,2007,0.49991469920743714,-0.08574925585451727,0.4141269541208414,0.29285919352798256,06-02,N
38,2008,-1.6091930707610531,-0.955649002977624,-0.46212544213390333,-1.8136172230131853,06-02,N
39,2009,-0.724980942770486,-0.8620324155141864,0.09691002574867387,-1.1221879074767278,06-02,N
40,2010,0.8827227952940789,0.4858482552344309,0.2806326785564692,0.9677258703643064,06-02,N
41,2011,-1.843746128195832,-1.2212652750114676,-0.4401604324454518,-2.167290347621977,06-02,N
42,2012,-1.0601749474943432,-1.4542342806555506,0.27864202666813875,-1.7779558159028226,06-02,N
43,2013,-0.26728989672700476,0.1329242597591976,-0.2829941439782478,-0.09501085305838629,06-02,N
44,2014,-0.3926335169757362,0.499253382731065,-0.6306592748341253,0.07539163008479237,06-02,N
45,2015,0.23384715837225492,1.0815833290675783,-0.5994399949557797,0.9301498178482317,06-02,N
46,2016,1.831363661111041,-0.5862013104317514,1.7094765853369713,0.8804627418435076,06-02,N
47,2017,-0.08739485200900382,0.6505018037528109,-0.5217717291040547,0.39817674411133186,06-02,N
48,1998,1.0697676407030319,-2.5954892910609106,2.5917280312412827,-1.0788481251711868,06-02,Y
49,1999,-0.660366118421175,-1.2296207843154823,0.40252383447594714,-1.3364225552788502,06-02,Y
50,1970,0.3934663605527097,0.6358703676002165,-0.1714055171700837,0.7278509806013079,06-08,N
51,1971,-1.2485815975972105,0.09513129844528057,-0.9501485007594598,-0.8156125282919815,06-08,N
52,1972,-0.5811933383300271,-0.34115540649309245,-0.16973244934389073,-0.6521990520833283,06-08,N
