,time,PC1,PC2,E-index,C-index,exp_id,MCB_year
0,1970,0.47496729557458944,0.48060510477128865,-0.0039865331140218905,0.6756917241992768,06-02,N
1,1971,-1.2609224892598332,0.23718745448489345,-1.0593237001848934,-0.7238899852276058,06-02,N
2,1972,-0.566127826060681,-0.4826653825976826,-0.05901685974708501,-0.7416087899047266,06-02,N
3,1973,1.4715949339307066,-0.3333368385070179,1.2762794958697694,0.8048700180145746,06-02,N
4,1974,-1.5738641540847043,-0.4202444000110243,-0.8157323510162563,-1.410047681023191,06-02,N
5,1975,-0.9179128068207718,-0.4096074039065758,-0.35942619731438824,-0.938698543167502,06-02,N
6,1976,-1.5743899394880747,-0.7565005600194967,-0.5783351264826889,-1.6481884784051026,06-02,N
7,1977,0.6243650232630817,-0.828461569290405,1.0273035354827156,-0.14431805171267262,06-02,N
8,1978,0.5184240542448942,1.2266429733367374,-0.5007864002544491,1.2339487288280238,06-02,N
9,1979,0.2158658558071811,0.346668394071609,-0.09249136180318981,0.39777178273898023,06-02,N
10,1980,0.8379782961540447,0.7533537378383542,0.05983859903994118,1.1252416723554068,06-02,N
11,1981,-0.026927894623462654,1.2326124573111825,-0.8906295240310781,0.8525477302484238,06-02,N
12,1982,0.09879300342428515,0.6072613430144369,-0.3595414109428605,0.49925581625305626,06-02,N
13,1983,2.6590557593711077,-2.5138631899177746,3.657806067570559,0.10266665043835063,06-02,N
14,1984,-0.07721215482731669,-0.5137996602248583,0.3087139856479201,-0.4179084621847626,06-02,N
15,1985,-0.6297544917983862,0.16554107337266438,-0.5623588871800376,-0.32824845608661607,06-02,N
16,1986,-0.25598132221265874,1.0496789905357198,-0.9232412610705268,0.5612290034831876,06-02,N
17,1987,1.0086063976605824,0.18932583751070578,0.5793188397762908,0.8470660068915759,06-02,N
18,1988,0.8464622713701793,0.5286621560742648,0.22471861658760775,0.9723598076212349,06-02,N
19,1989,-1.4717896806132045,-1.1008743378133228,-0.2622767541399292,-1.8191481731440304,06-02,N
20,1990,-0.12189128899015823,0.6436879427529811,-0.5413462663011611,0.3689659522761411,06-02,N
21,1991,0.35044612760124083,1.9756946966368285,-1.1492242842787965,1.6448299508136037,06-02,N
22,1992,1.2494670312195977,-0.13331702366684178,0.9777759821268324,0.7892372391619699,06-02,N
23,1993,0.6793328727101731,0.7559956628485621,-0.054208778771536084,1.0149305407241382,06-02,N
24,1994,0.34588554328785454,0.887909435107333,-0.3832687694706768,0.8724247958171469,06-02,N
25,1995,0.8429270446981145,0.37979584791626586,0.3274832098234865,0.864595648879659,06-02,N
26,1996,-0.5677011423954341,0.448608049387719,-0.718639121292087,-0.08421153365823558,06-02,N
27,1997,-0.5013193750468652,0.7627817156833216,-0.8938544533606262,0.18488179408894537,06-02,N
28,1998,2.4162687770421862,-3.119386413382341,3.9142993234596917,-0.49717924862798013,06-02,N
29,1999,-0.8333296064773084,-1.7328370848871089,0.6360478377115819,-1.8145538691188254,06-02,N
30,2000,-1.2267170998716206,-1.0098957867288159,-0.15331582082904913,-1.5815241390043873,06-02,N
31,2001,-0.5045614522851455,-0.8087965439995973,0.2151266964262001,-0.9286843452985181,06-02,N
32,2002,-0.13376829508862167,0.7664184365974551,-0.63652814230938,0.44735120517952504,06-02,N
33,2003,0.7984729592417534,0.4236191785565387,0.2650616502759302,0.8641496378719369,06-02,N
34,2004,0.17244690960088208,0.6704163639447168,-0.3521175779902904,0.5959943363371849,06-02,N
35,2005,0.4083108787699405,1.1858555177496537,-0.5498070868978011,1.1272458693187275,06-02,N
36,2006,-0.6073378249414749,0.0877249495982759,-0.4914836012273942,-0.36742178774701617,06-02,N
37,2007,0.5353688918242411,-0.18892023167608676,0.5121497507667425,0.24497619692375353,06-02,N
38,2008,-1.611600787169646,-0.9271635278780206,-0.48397022734184364,-1.7951774630046256,06-02,N
39,2009,-0.7092753468541926,-1.1030150931638798,0.2784160446382507,-1.281482859616331,06-02,N
40,2010,0.916612617772376,0.6382224173244972,0.1968515985525773,1.0994343969434226,06-02,N
41,2011,-1.8635490613428034,-0.8780189349732751,-0.6968750354195286,-1.9385813212791145,06-02,N
42,2012,-1.056468820813723,-1.5829148297879114,0.37225354287424267,-1.8663260774933208,06-02,N
43,2013,-0.24112802320117163,0.027225995774500265,-0.18975494657636105,-0.15125157410295018,06-02,N
44,2014,-0.3773757700104411,0.6961679917200118,-0.7591100738201184,0.2254201417603627,06-02,N
45,2015,0.261786077930334,1.2742858277333642,-0.7159454390354053,1.0861668608849437,06-02,N
46,2016,1.8723736003881926,-0.6264027985955243,1.766901736390288,0.8810344031080354,06-02,N
47,2017,-0.04730625786022492,0.09098014055942838,-0.09778325006840151,0.0308820986173526,06-02,N
48,2016,-0.339796132193046,1.189702659018336,-1.0815189670821956,0.6009746684928688,06-02,Y
49,2017,-0.5078031785565674,-0.2526107402040864,-0.1804483036665693,-0.5376938384642947,06-02,Y
50,1970,0.41408100479112264,0.6877386512615581,-0.19350517754279575,0.7791041504394799,06-08,N
51,1971,-1.2960315555814084,0.1365664342765115,-1.012999753342752,-0.8198656498239754,06-08,N
52,1972,-0.6110428750751079,-0.4570918361995805,-0.10885982355959922,-0.7552852975630672,06-08,N
53,1973,1.4079806414414917,-0.4644711114871315,1.3240233319404673,0.66716198674486,06-08,N
54,1974,-1.603075673154574,-0.6135698854743584,-0.6996862524920165,-1.567405105993561,06-08,N
55,1975,-0.9560301006142641,-0.6214404185622053,-0.2365906330940616,-1.1154401012315451,06-08,N
