,exp_id,ISO_A3,Sum_abs_anom_popw,E-index,b,alpha
0,06-02,AFG,0.908255356475179,2.5917280312412827,0.18666968739122747,0.34818545438706544
1,06-08,AFG,0.5042265647933672,3.451181820469674,4.364105253646869,8.140143115734517
2,06-11,AFG,0.9825967820539498,2.781386144167284,-0.046076671036615946,-0.08594446621589731
3,09-02,AFG,0.8163545466446055,2.816452982245042,0.5659141750446197,1.055570869248974
4,09-11,AFG,0.9289183972040302,3.249591739252556,0.2567068535810352,0.4788222110805715
5,12-02,AFG,1.4071363064952143,3.2702968591511747,-2.850154058896072,-5.316247109740993
6,Control,AFG,0.9696936841038811,3.863226130518031,,
7,Historical,AFG,0.4302017268356278,-0.024287534875289285,0.5361214405691783,1.0
8,06-02,ALB,0.5029993550943757,2.5917280312412827,0.2911151684833922,0.8591438724709599
9,06-08,ALB,0.09318886492929733,3.451181820469674,4.740613885274033,13.990577655235745
10,06-11,ALB,0.33592854759472,2.781386144167284,0.938756845180444,2.770474638881483
11,09-02,ALB,0.08807516484057486,2.816452982245042,1.8849340572263262,5.5628483864804545
12,09-11,ALB,0.4041608107997067,3.249591739252556,1.22546591443155,3.6166151588420306
13,12-02,ALB,0.5811045098339818,3.2702968591511747,0.1153839285440395,0.3405229473499385
14,Control,ALB,0.5988136747566908,3.863226130518031,,
15,Historical,ALB,0.25784008913623047,-0.024287534875289285,0.33884332742329165,1.0
16,06-02,DZA,0.17971036499263807,2.5917280312412827,0.3897893717359401,5.782391641526703
17,06-08,DZA,0.3532259209354861,3.451181820469674,-0.4240160104837851,-6.290132088454967
18,06-11,DZA,0.30840325130662616,2.781386144167284,-0.0014357723499376362,-0.021299190376690938
19,09-02,DZA,0.21361819961147216,2.816452982245042,0.34833030743416743,5.167360642050162
20,09-11,DZA,0.2993890521518401,3.249591739252556,0.054218952285890465,0.8043195613929072
21,12-02,DZA,0.2518882995091405,3.2702968591511747,0.3656030711889599,5.423596168218995
22,Control,DZA,0.3080011842551562,3.863226130518031,,
23,Historical,DZA,0.24016767443045353,-0.024287534875289285,0.06740971485511926,1.0
24,06-02,AGO,0.4844621300611158,2.5917280312412827,0.72775163452721,2.5644312602803883
25,06-08,AGO,0.4938484346220888,3.451181820469674,2.157713093753445,7.603290251532588
26,06-11,AGO,0.4250742054145121,2.781386144167284,1.067407210815095,3.7613002692068607
27,09-02,AGO,0.663995279443302,2.816452982245042,0.2214019975978555,0.7801702899606962
28,09-11,AGO,0.6596521929737634,3.249591739252556,0.40502291712025784,1.4272086526716108
29,12-02,AGO,0.8153547790043205,3.2702968591511747,-0.595312670148866,-2.097746468082525
30,Control,AGO,0.7239859862333182,3.863226130518031,,
31,Historical,AGO,0.4384151021807258,-0.024287534875289285,0.28378675841271706,1.0
32,06-02,AZE,0.2669288746538135,2.5917280312412827,-0.395290605251154,1.643256866399299
33,06-08,AZE,0.13549695049777033,3.451181820469674,0.012474363605428862,-0.05185699679241909
34,06-11,AZE,0.6869798919269468,2.781386144167284,-1.9645819586391045,8.16693528824631
35,09-02,AZE,0.3393216497195651,2.816452982245042,-0.7473261181987371,3.1066986132628904
36,09-11,AZE,0.4299810760657279,3.249591739252556,-1.8455920895115507,7.672284221718754
37,12-02,AZE,0.6113274425981102,3.2702968591511747,-3.0916011213418875,12.852050373382855
38,Control,AZE,0.13682744226072652,3.863226130518031,,
39,Historical,AZE,0.3788929083002218,-0.024287534875289285,-0.24055314378044496,1.0
40,06-02,ARG,1.058454919405297,2.5917280312412827,-0.8436948405981489,-1.951295860148399
41,06-08,ARG,0.7457694206363737,3.451181820469674,0.3281647143050015,0.7589787416693803
42,06-11,ARG,0.4905724330303117,2.781386144167284,1.0362919548009475,2.3967341081220512
43,09-02,ARG,0.9297977500668406,2.816452982245042,-0.5499994422604314,-1.2720376884204248
44,09-11,ARG,0.8236335568665297,3.249591739252556,-0.2698485690885869,-0.6241052693367437
45,12-02,ARG,0.8642861402899877,3.2702968591511747,-0.5441432908807767,-1.258493592387526
46,Control,ARG,0.780770841397081,3.863226130518031,,
47,Historical,ARG,0.3456758650810484,-0.024287534875289285,0.4323766876305394,1.0
48,06-02,AUS,0.7167225999277632,2.5917280312412827,0.7915259359459801,1.3574099690626849
49,06-02,AUS,0.7167225999277632,2.5917280312412827,0.7915259359459801,1.3574099690626849
50,06-08,AUS,0.8780299147707525,3.451181820469674,0.9301356188936315,1.5951155917052269
51,06-08,AUS,0.8780299147707525,3.451181820469674,0.9301356188936315,1.5951155917052269
52,06-11,AUS,0.6415684956624208,2.781386144167284,1.1986624998687043,2.0556198514440376
53,06-11,AUS,0.6415684956624208,2.781386144167284,1.1986624998687043,2.0556198514440376
54,09-02,AUS,0.8186352790104955,2.816452982245042,0.5853340804843261,1.0038057882866263
55,09-02,AUS,0.8186352790104955,2.816452982245042,0.5853340804843261,1.0038057882866263
56,09-11,AUS,1.1330337880177714,3.249591739252556,-0.9808455095411589,-1.6820794016943035
57,09-11,AUS,1.1330337880177714,3.249591739252556,-0.9808455095411589,-1.6820794016943035
58,12-02,AUS,0.8302940070165248,3.2702968591511747,0.9574020426246262,1.641875544490483
59,12-02,AUS,0.8302940070165248,3.2702968591511747,0.9574020426246262,1.641875544490483
60,Control,AUS,0.9772364008500533,3.863226130518031,,
61,Control,AUS,0.9772364008500533,3.863226130518031,,
62,Historical,AUS,0.39045557462790903,-0.024287534875289285,0.5831148687470908,1.0
63,06-02,AUT,0.5454614113542271,2.5917280312412827,0.03574145627588521,0.1157592306376886
